"VU"	"d"
1e-04	470
0	471
1e-04	472
1e-04	473
0	474
1e-04	475
0	476
0	477
0	478
1e-04	479
1e-04	480
1e-04	481
0	482
1e-04	483
1e-04	484
0	485
1e-04	486
1e-04	487
1e-04	488
0	489
0	490
0	491
0	492
0	493
0	494
1e-04	495
0	496
1e-04	497
1e-04	498
0	499
0	500
